compound_KEGG_ID	compound_name	pathway_KEGG_ID	pathway_name	pathway_class	pathway_organism
cpd:C00183	L-Valine	map00280	Valine, leucine and isoleucine degradation	Metabolism; Amino acid metabolism	Human
cpd:C00183	L-Valine	map00290	Valine, leucine and isoleucine biosynthesis	Metabolism; Amino acid metabolism	Human
cpd:C00183	L-Valine	map00311	Penicillin and cephalosporin biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	Not_human
cpd:C00183	L-Valine	map00460	Cyanoamino acid metabolism	Metabolism; Metabolism of other amino acids	Not_human
cpd:C00183	L-Valine	map00770	Pantothenate and CoA biosynthesis	Metabolism; Metabolism of cofactors and vitamins	Human
cpd:C00183	L-Valine	map00966	Glucosinolate biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	Not_human
cpd:C00183	L-Valine	map00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing; Translation	Human
cpd:C00183	L-Valine	map01060	Biosynthesis of plant secondary metabolites	Not_determined	Not_human
cpd:C00183	L-Valine	map01063	Biosynthesis of alkaloids derived from shikimate pathway	Not_determined	Not_human
cpd:C00183	L-Valine	map01100	Metabolic pathways	Not_determined	Human
cpd:C00183	L-Valine	map01110	Biosynthesis of secondary metabolites	Not_determined	Not_human
cpd:C00183	L-Valine	map01130	Biosynthesis of antibiotics	Not_determined	Not_human
cpd:C00183	L-Valine	map01210	2-Oxocarboxylic acid metabolism	Metabolism; Overview	Human
cpd:C00183	L-Valine	map01230	Biosynthesis of amino acids	Metabolism; Overview	Human
cpd:C00183	L-Valine	map02010	ABC transporters	Environmental Information Processing; Membrane transport	Human
cpd:C00183	L-Valine	map04974	Protein digestion and absorption	Organismal Systems; Digestive system	Human
cpd:C00183	L-Valine	map04978	Mineral absorption	Organismal Systems; Digestive system	Human
cpd:C00183	L-Valine	map05230	Central carbon metabolism in cancer	Human Diseases; Cancers	Human
cpd:C00407	L-Isoleucine	map00280	Valine, leucine and isoleucine degradation	Metabolism; Amino acid metabolism	Human
cpd:C00407	L-Isoleucine	map00290	Valine, leucine and isoleucine biosynthesis	Metabolism; Amino acid metabolism	Human
cpd:C00407	L-Isoleucine	map00460	Cyanoamino acid metabolism	Metabolism; Metabolism of other amino acids	Not_human
cpd:C00407	L-Isoleucine	map00960	Tropane, piperidine and pyridine alkaloid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	Not_human
cpd:C00407	L-Isoleucine	map00966	Glucosinolate biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	Not_human
cpd:C00407	L-Isoleucine	map00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing; Translation	Human
cpd:C00407	L-Isoleucine	map01060	Biosynthesis of plant secondary metabolites	Not_determined	Not_human
cpd:C00407	L-Isoleucine	map01064	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid	Not_determined	Not_human
cpd:C00407	L-Isoleucine	map01100	Metabolic pathways	Not_determined	Human
cpd:C00407	L-Isoleucine	map01110	Biosynthesis of secondary metabolites	Not_determined	Not_human
cpd:C00407	L-Isoleucine	map01130	Biosynthesis of antibiotics	Not_determined	Not_human
cpd:C00407	L-Isoleucine	map01210	2-Oxocarboxylic acid metabolism	Metabolism; Overview	Human
cpd:C00407	L-Isoleucine	map01230	Biosynthesis of amino acids	Metabolism; Overview	Human
cpd:C00407	L-Isoleucine	map02010	ABC transporters	Environmental Information Processing; Membrane transport	Human
cpd:C00407	L-Isoleucine	map04974	Protein digestion and absorption	Organismal Systems; Digestive system	Human
cpd:C00407	L-Isoleucine	map04978	Mineral absorption	Organismal Systems; Digestive system	Human
cpd:C00407	L-Isoleucine	map05230	Central carbon metabolism in cancer	Human Diseases; Cancers	Human
